destination_id,destination_city,country,region,avg_annual_temp_c,seasonal_range_c,dry_season_months,cost_per_day_avg_usd,meal_budget_usd,hotel_night_avg_usd,flight_cost_usd,museum_count,monument_count,festival_score,beach_score,scenic_score,wellness_score,culture_score,hiking_score,nightlife_score,family_score,luxury_score,safety_score,tourist_density_score,adventure_sports_score,near_mountains,near_beach,best_season,visa_requirement,english_friendly_score,public_transport_score,latitude,longitude,source_label_hint,travel_style
DST-0093,Chiang Mai,Thailand,Southeast Asia,26.0,10.0,"Nov,Dec,Jan,Feb,Mar",35,5,22,650,10,20,7,1,7,5,6,4,4,4,3,8,6,3,1,0,"Nov-Mar","Visa on Arrival",6,5,18.7883,98.9853,"Temples night markets elephant sanctuaries trekking",Adventure
DST-0094,Galapagos,Ecuador,South America,24.0,6.0,"Dec,Jan,Feb,Mar,Apr,May,Jun",180,22,150,750,1,1,2,8,9,3,3,6,1,5,4,9,5,8,0,1,"Dec-Jun","Visa-Free",6,3,-0.9538,-90.9656,"Unique wildlife diving evolution snorkeling",Adventure
DST-0095,Faroe Islands,Denmark,Western Europe,6.0,10.0,"Jun,Jul,Aug",140,20,110,400,3,2,3,3,10,2,3,8,2,3,3,9,3,7,1,1,"Jun-Aug","Schengen Visa",8,3,62.0078,-6.7855,"Puffins sea cliffs hiking waterfalls unspoiled",Adventure
DST-0096,La Paz,Bolivia,South America,8.0,12.0,"May,Jun,Jul,Aug,Sep,Oct",40,5,28,650,8,10,7,1,7,2,5,4,5,3,2,6,5,5,1,0,"May-Oct","Visa on Arrival",4,5,-16.5000,-68.1500,"Death Road cycling witches market cable car",Adventure
DST-0097,Slovenia Green,Slovenia,Western Europe,10.0,22.0,"Jun,Jul,Aug,Sep",85,12,65,300,6,8,5,1,9,6,5,6,3,5,5,9,5,7,1,1,"Jun-Sep","Schengen Visa",8,5,45.9500,14.8000,"Soca valley rafting caves castle eco destination",Adventure
DST-0098,Orlando,United States,North America,23.0,16.0,"Mar,Apr,May,Oct,Nov,Dec",180,20,140,350,10,3,6,2,3,3,3,1,7,9,6,8,9,3,0,0,"Mar-May","ESTA or Visa",10,4,28.5383,-81.3792,"Disney World Universal theme parks family fun",Family
DST-0099,Copenhagen,Denmark,Western Europe,9.0,18.0,"Jun,Jul,Aug",160,22,130,350,40,20,7,4,5,5,7,2,6,8,5,9,5,2,0,1,"Jun-Aug","Schengen Visa",10,9,55.6761,12.5683,"Tivoli Gardens Little Mermaid bikes hygge",Family
DST-0100,Tokyo,Japan,East Asia,16.0,22.0,"Mar,Apr,May,Oct,Nov",130,16,100,700,50,30,9,2,5,5,8,2,8,7,6,9,8,2,0,1,"Mar-May","Visa required",4,10,35.6762,139.6503,"Disneyland anime temples sushi cherry blossoms",Family
DST-0101,Vancouver,Canada,North America,11.0,16.0,"Jun,Jul,Aug,Sep",120,16,90,350,20,10,6,4,8,5,5,5,6,7,5,9,6,6,1,1,"Jun-Sep","eTA required",10,8,49.2827,-123.1207,"Stanley Park mountains beaches aquarium family friendly",Family
DST-0102,Singapore,Singapore,Southeast Asia,28.0,4.0,"Feb,Mar,Apr,Jun,Jul,Aug",150,18,120,700,30,15,8,3,4,6,5,1,7,7,7,9,8,2,0,1,"Feb-Apr","Visa-Free",10,10,1.3521,103.8198,"Gardens by the Bay Sentosa zoo food paradise",Family
DST-0103,Barcelona,Spain,Western Europe,17.0,14.0,"May,Jun,Jul,Sep,Oct",110,15,85,300,40,30,8,7,6,5,7,2,8,7,6,8,8,3,0,1,"May-Jul","Schengen Visa",7,9,41.3874,2.1686,"Sagrada Familia beach Park Guell tapas football",Family
DST-0104,Gold Coast,Australia,Oceania,21.0,12.0,"Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr",110,15,85,1000,5,3,5,9,6,5,3,3,7,8,5,8,7,5,0,1,"Sep-Apr","eVisitor required",10,6,-28.0167,153.4000,"Theme parks beaches surfing family holidays",Family
DST-0105,Edinburgh,United Kingdom,Western Europe,9.0,12.0,"May,Jun,Jul,Aug,Sep",130,18,100,350,25,20,9,3,7,4,7,3,6,7,5,9,7,3,1,1,"May-Sep","UK Visa required",10,8,55.9533,-3.1883,"Castle festival Fringe Arthur's Seat Harry Potter",Family
DST-0106,San Diego,United States,North America,18.0,10.0,"Year-round",150,20,120,350,15,5,5,8,6,5,4,3,6,8,5,9,6,5,0,1,"Year-round","ESTA or Visa",10,5,32.7157,-117.1611,"Zoo beaches SeaWorld Legoland Balboa Park",Family
DST-0107,Tromso,Norway,Western Europe,3.0,20.0,"Jun,Jul,Aug",160,22,130,400,8,3,5,2,8,3,4,4,3,7,4,9,4,6,1,1,"Jun-Aug","Schengen Visa",9,5,69.6496,18.9560,"Northern lights whale watching Arctic cathedral",Family
DST-0108,Seoul,South Korea,East Asia,13.0,28.0,"Apr,May,Jun,Sep,Oct,Nov",100,14,75,700,30,20,8,1,5,5,7,4,7,6,5,9,7,3,1,0,"Apr-Jun","Visa required",5,10,37.5665,126.9780,"Palaces K-pop street food tech family activities",Family
DST-0109,Antalya,Turkey,Middle East,19.0,16.0,"May,Jun,Jul,Aug,Sep,Oct",65,9,45,400,6,12,6,8,7,5,4,2,4,7,5,8,7,3,0,1,"May-Oct","eVisa available",5,5,36.8969,30.7133,"Beaches ruins waterfalls family resorts",Family
DST-0110,Jeju Island,South Korea,East Asia,16.0,20.0,"Apr,May,Jun,Sep,Oct,Nov",85,12,65,650,8,6,6,5,8,5,4,6,2,7,4,9,5,5,1,1,"Apr-Jun","Visa-Free",5,5,33.4996,126.5312,"Volcano beaches tea fields tangerine Hallasan",Family
DST-0111,Ho Chi Minh City,Vietnam,Southeast Asia,28.0,5.0,"Dec,Jan,Feb,Mar,Apr",30,3,20,650,6,5,5,1,2,3,4,1,6,3,2,6,8,1,0,0,"Dec-Apr","eVisa available",5,6,10.8231,106.6297,"Motorbikes markets street food war museums budget",Budget
DST-0112,Siem Reap,Cambodia,Southeast Asia,28.0,7.0,"Nov,Dec,Jan,Feb,Mar",30,4,20,600,3,25,4,1,5,3,7,1,3,3,1,7,7,1,0,0,"Nov-Mar","eVisa available",5,3,13.3618,103.8560,"Angkor temples pub street budget guesthouses",Budget
DST-0113,Vientiane,Laos,Southeast Asia,26.0,12.0,"Nov,Dec,Jan,Feb,Mar,Apr",25,3,18,600,3,8,4,1,5,3,5,1,3,2,1,7,4,1,0,0,"Nov-Apr","Visa on Arrival",4,4,17.9757,102.6331,"Mekong river temples French colonial budget travel",Budget
DST-0114,Kathmandu Budget,Nepal,South Asia,20.0,15.0,"Oct,Nov,Dec,Jan,Feb,Mar",25,3,18,700,8,12,7,1,8,3,6,5,4,3,1,7,5,5,1,0,"Oct-Nov","Visa on Arrival",6,4,27.7172,85.3240,"Budget guesthouses trekking Thamel street food",Budget
DST-0115,Manila,Philippines,Southeast Asia,28.0,6.0,"Dec,Jan,Feb,Mar,Apr",35,5,22,600,5,8,5,4,4,4,4,1,7,5,3,6,7,2,0,1,"Dec-Apr","Visa on Arrival",9,5,14.5995,120.9842,"Intramuros jeepneys street food budget shopping",Budget
DST-0116,Kuala Lumpur,Malaysia,Southeast Asia,27.0,4.0,"May,Jun,Jul,Aug",40,6,28,550,18,12,6,2,4,4,5,2,7,5,5,7,7,2,0,0,"May-Aug","Visa-Free",8,8,3.1390,101.6869,"Petronas Towers street food budget shopping Batu Caves",Budget
DST-0117,Medellin,Colombia,South America,23.0,4.0,"Dec,Jan,Feb,Mar,Apr,Jun,Jul",40,6,28,450,10,8,7,1,7,4,5,3,7,4,3,6,5,3,1,0,"Dec-Apr","Visa-Free",4,7,6.2476,-75.5658,"Comuna 13 transformation metro cable botero budget",Budget
DST-0118,Sarajevo,Bosnia,Western Europe,11.0,22.0,"Jun,Jul,Aug,Sep",35,5,22,300,6,15,5,1,7,3,6,4,4,3,2,8,5,3,1,0,"Jun-Sep","Visa-Free",6,5,43.8563,18.4131,"Bascarsija war history cevapi budget Balkans",Budget
DST-0119,Tbilisi,Georgia,Middle East,14.0,20.0,"May,Jun,Jul,Aug,Sep,Oct",30,4,20,400,10,15,7,1,7,4,6,5,5,4,3,8,5,4,1,0,"May-Oct","Visa-Free",5,6,41.7151,44.8271,"Old Town sulfur baths wine khachapuri budget",Budget
DST-0120,Budva,Montenegro,Western Europe,16.0,16.0,"Jun,Jul,Aug,Sep",45,6,30,300,2,5,4,8,7,4,3,2,7,4,4,8,6,3,0,1,"Jun-Sep","Visa-Free",6,4,42.2910,18.8410,"Beaches old town coastal budget Riviera",Budget
DST-0121,Skopje,North Macedonia,Western Europe,13.0,24.0,"Jun,Jul,Aug,Sep",30,4,20,300,8,10,5,1,6,3,5,3,5,3,2,7,5,2,1,0,"Jun-Sep","Visa-Free",6,5,41.9973,21.4280,"Bazaar statues Mother Teresa budget Balkans",Budget
DST-0122,Lima,Peru,South America,19.0,8.0,"Dec,Jan,Feb,Mar,Apr",45,6,30,550,15,12,6,5,4,3,6,2,6,4,3,6,6,3,0,1,"Dec-Apr","Visa-Free",5,7,-12.0464,-77.0428,"Gastronomy Barranco ceviche budget surfing",Budget
DST-0123,Yerevan,Armenia,Middle East,12.0,26.0,"May,Jun,Jul,Aug,Sep,Oct",30,4,20,400,10,15,6,1,7,2,6,4,4,4,2,8,4,3,1,0,"May-Oct","eVisa available",5,5,40.1792,44.4991,"Cognac brandy Soviet architecture monasteries budget",Budget
DST-0124,Laos North,Laos,Southeast Asia,24.0,14.0,"Nov,Dec,Jan,Feb,Mar",25,3,18,600,2,8,4,1,8,2,4,6,2,3,1,7,3,5,1,0,"Nov-Mar","Visa on Arrival",4,3,20.3000,103.5000,"Nong Khiaw trekking river tubing budget nature",Budget
DST-0125,Belgrade,Serbia,Western Europe,13.0,24.0,"May,Jun,Jul,Aug,Sep",35,5,22,300,12,10,6,1,5,3,5,2,8,4,3,7,6,2,0,0,"May-Sep","Visa-Free",7,5,44.7866,20.4489,"Kalemegdan fortress nightlife kafanas budget Danube",Budget
DST-0126,Warsaw,Poland,Western Europe,9.0,22.0,"May,Jun,Jul,Aug,Sep",50,7,35,300,20,15,5,1,4,3,6,1,6,5,4,8,5,1,0,0,"May-Sep","Schengen Visa",7,8,52.2297,21.0122,"Old Town rebuilt history pierogi budget vodka",Budget
DST-0127,Kotor,Montenegro,Western Europe,15.0,16.0,"Jun,Jul,Aug,Sep",40,6,28,300,3,10,4,3,9,2,4,5,4,3,3,8,5,4,1,1,"Jun-Sep","Visa-Free",6,3,42.4247,18.7712,"Bay fjord-like old town hiking cruise stops",Budget
DST-0128,Bucharest,Romania,Western Europe,12.0,26.0,"May,Jun,Jul,Aug,Sep",40,6,28,300,15,12,5,1,4,3,5,1,7,4,4,7,6,1,0,0,"May-Sep","Schengen Visa",7,8,44.4268,26.1025,"Palace of Parliament Old Town budget nightlife",Budget
DST-0129,Accra,Ghana,Sub-Saharan Africa,27.0,5.0,"Nov,Dec,Jan,Feb,Mar",45,6,30,700,5,8,6,5,3,2,4,1,5,4,2,6,6,3,0,1,"Nov-Mar","Visa on Arrival",9,5,5.6037,-0.1870,"Markets coastal forts kente budget West Africa",Budget
DST-0130,Moscow,Russia,Eastern Europe,5.0,30.0,"May,Jun,Jul,Aug,Sep",70,10,50,500,50,40,8,1,6,4,8,1,6,5,6,6,8,2,0,0,"May-Sep","Visa required",4,9,55.7558,37.6173,"Kremlin ballet metro system history cathedrals",Culture
DST-0131,Colombo,Sri Lanka,South Asia,28.0,4.0,"Dec,Jan,Feb,Mar,Apr",45,6,30,600,8,10,6,5,4,4,5,1,5,4,3,7,6,2,0,1,"Dec-Apr","eVisa available",7,5,6.9271,79.8612,"Colonial architecture temples markets tuk tuks",Culture
DST-0132,Brasov,Romania,Western Europe,9.0,22.0,"Jun,Jul,Aug,Sep",40,6,28,300,6,8,5,1,8,3,5,7,3,5,3,8,5,6,1,0,"Jun-Sep","Schengen Visa",6,5,45.6427,25.5887,"Bran Castle Carpathians bears medieval budget",Adventure
DST-0133,Taipei,Taiwan,East Asia,22.0,14.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",85,12,65,700,20,15,8,3,7,5,6,4,8,5,4,9,6,3,1,0,"Oct-Apr","Visa required",5,8,25.0330,121.5654,"Night markets temples hot springs bubble tea",Culture
DST-0134,Cusco Budget,Peru,South America,13.0,8.0,"May,Jun,Jul,Aug,Sep",35,4,20,650,10,15,8,1,8,2,9,5,3,3,1,6,7,4,1,0,"May-Sep","Visa-Free",4,4,-13.5320,-71.9675,"Budget Machu Picchu hostels student travel",Budget
DST-0135,Nusa Penida,Indonesia,Southeast Asia,26.0,4.0,"May,Jun,Jul,Aug,Sep",40,5,28,700,1,2,3,9,9,4,2,5,2,3,3,7,4,6,0,1,"May-Sep","Visa on Arrival",5,2,-8.7278,115.5444,"Cliffs beaches snorkeling manta rays Instagram",Adventure
DST-0136,Gobi Desert,Mongolia,East Asia,2.0,35.0,"Jun,Jul,Aug,Sep",55,7,35,800,1,2,3,1,8,1,2,4,1,3,1,6,2,4,1,0,"Jun-Sep","Visa required",3,2,43.5000,104.5000,"Dunes camels nomads eagle hunting wilderness",Adventure
DST-0137,Rotorua,New Zealand,Oceania,13.0,12.0,"Dec,Jan,Feb,Mar",100,14,75,1100,4,3,5,1,7,7,3,5,3,6,4,8,6,6,1,0,"Dec-Mar","eTA required",10,4,-38.1368,176.2497,"Geothermal Maori culture zorbing mountain biking",Adventure
DST-0138,Warsaw Budget,Poland,Western Europe,9.0,22.0,"May,Jun,Jul,Aug,Sep",45,6,25,300,20,15,5,1,4,3,6,1,6,5,4,8,5,1,0,0,"May-Sep","Schengen Visa",7,8,52.2297,21.0122,"Budget hostels milk bars student city",Budget
DST-0139,Entebbe,Uganda,Sub-Saharan Africa,23.0,,"Dec,Jan,Feb,Jun,Jul,Aug",60,8,42,700,3,2,3,4,6,2,3,4,2,5,2,6,4,3,0,1,"Dec-Feb","eVisa available",8,3,0.0511,32.4624,"Gorilla trekking Lake Victoria chimpanzees wildlife",Adventure
DST-0140,Luxor,Egypt,North Africa,27.0,18.0,"Oct,Nov,Dec,Jan,Feb,Mar,Apr",45,6,30,500,20,35,4,1,4,2,9,1,2,4,3,6,7,2,0,0,"Oct-Apr","Visa on Arrival",5,4,25.6872,32.6396,"Valley of Kings Karnak Nile felucca pharaohs",Culture
DST-0141,Mont Saint-Michel,France,Western Europe,13.0,12.0,"May,Jun,Jul,Aug,Sep",140,20,110,350,3,10,5,3,9,3,6,2,2,5,5,9,8,2,0,1,"May-Sep","Schengen Visa",5,3,48.6361,-1.5114,"Abbey tides Normandy pilgrimage medieval",Culture
DST-0142,Dubrovnik,Croatia,Western Europe,16.0,14.0,"Jun,Jul,Aug,Sep",110,16,85,350,5,25,7,7,8,4,6,2,5,5,6,9,8,2,0,1,"Jun-Sep","Schengen Visa",8,5,42.6507,18.0944,"Old Town walls Game of Thrones Adriatic pebbles",Culture
DST-0143,Marrakech Medina,Morocco,North Africa,20.0,18.0,"Mar,Apr,May,Sep,Oct,Nov",55,7,40,400,10,15,7,1,5,4,7,2,5,4,4,7,8,1,1,0,"Mar-May","Visa-Free",4,5,31.6295,-7.9811,"Souks riads spices hammams crafts shopping",Culture
DST-0144,Padar Island,Indonesia,Southeast Asia,28.0,5.0,"May,Jun,Jul,Aug,Sep",80,10,55,700,1,1,2,8,10,3,2,6,1,3,3,7,5,7,0,1,"May-Sep","Visa on Arrival",4,2,-8.6538,119.5796,"Komodo dragons pink beach trekking diving",Adventure
DST-0145,Valletta,Malta,Western Europe,19.0,14.0,"May,Jun,Jul,Aug,Sep,Oct",95,14,70,300,12,20,8,6,7,5,7,2,7,5,5,9,6,3,0,1,"May-Oct","Schengen Visa",9,6,35.8997,14.5147,"Knights of Malta Baroque BBC fortress Mediterranean",Culture
DST-0146,Ko Tao,Thailand,Southeast Asia,28.0,5.0,"Dec,Jan,Feb,Mar,Jun,Jul,Aug",35,5,22,650,1,1,3,8,7,5,2,2,6,2,3,7,5,6,0,1,"Dec-Mar","Visa on Arrival",6,2,10.0956,99.8404,"Diving certification budget beaches backpackers",Budget
DST-0147,Tel Aviv,Israel,Middle East,21.0,12.0,"Mar,Apr,May,Sep,Oct,Nov",130,18,100,450,20,10,7,9,5,5,5,1,9,5,6,8,6,3,0,1,"Mar-May","Visa required",8,7,32.0853,34.7818,"Beaches Bauhaus nightlife hummus innovation",Relaxation
DST-0148,Stockholm,Sweden,Western Europe,7.0,20.0,"Jun,Jul,Aug",150,22,120,350,50,20,7,4,7,5,8,2,6,7,6,9,5,2,0,1,"Jun-Aug","Schengen Visa",10,9,59.3293,18.0686,"Gamla Stan archipelago ABBA design fika",Culture
DST-0149,Cesky Krumlov,Czech Republic,Western Europe,8.0,20.0,"May,Jun,Jul,Aug,Sep",55,8,40,300,5,10,5,1,8,3,6,3,4,5,3,9,6,3,1,0,"May-Sep","Schengen Visa",7,4,48.8127,14.3176,"Castle medieval town river rafting small intimate",Culture
DST-0150,Chisinau,Moldova,Western Europe,10.0,24.0,"May,Jun,Jul,Aug,Sep",30,4,20,300,5,8,4,1,5,3,4,2,4,3,2,7,4,2,0,0,"May-Sep","Visa-Free",4,5,47.0103,28.8660,"Wine cellars Soviet heritage budget offbeat Europe",Budget
DST-0151,Bishkek,Kyrgyzstan,Central Asia,10.0,30.0,"Jun,Jul,Aug,Sep",25,3,18,600,3,5,4,1,9,2,3,8,2,3,1,7,3,7,1,0,"Jun-Sep","Visa-Free",3,3,42.8746,74.5698,"Ala Archa mountains yurts nomad games horse trekking",Adventure
DST-0152,Quito,Ecuador,South America,15.0,2.0,"Jun,Jul,Aug,Dec,Jan",50,7,35,550,15,18,7,1,7,3,8,3,5,5,3,6,7,3,1,0,"Jun-Aug","Visa-Free",5,6,-0.1807,-78.4678,"Equator Old Town churches cable car altitude",Culture
DST-0153,Lucca,Italy,Western Europe,16.0,16.0,"May,Jun,Jul,Aug,Sep",100,15,75,350,8,12,7,1,6,4,6,2,5,6,5,9,6,2,1,0,"May-Sep","Schengen Visa",6,6,43.8429,10.5036,"Walls cycling Puccini olive oil small town charm",Family
DST-0154,Riga,Latvia,Western Europe,7.0,22.0,"May,Jun,Jul,Aug,Sep",55,8,40,300,15,12,6,2,6,4,6,1,6,5,4,8,5,2,0,1,"May-Sep","Schengen Visa",8,7,56.9496,24.1052,"Art Nouveau Old Town Baltic markets budget",Budget
DST-0155,Ohrid,North Macedonia,Western Europe,12.0,18.0,"Jun,Jul,Aug,Sep",35,5,22,300,4,10,5,3,8,3,6,4,3,4,2,8,4,3,0,1,"Jun-Sep","Visa-Free",6,4,41.1231,20.8016,"Lake churches Byzantine UNESCO budget Balkans",Budget
